id,comment
https://www.instagram.com/pwinsus/,#iwantklarna
https://www.instagram.com/preshvvpplied/,just came back from 8th DR
https://www.instagram.com/davidbitton_architecte/,Must to visit if you are in Miami !!!!!!!!
https://www.instagram.com/ro.k_milano/,Too cool to be true 👍💡💥
https://www.instagram.com/_thamim__/,Levi's ❤️
https://www.instagram.com/preshvvpplied/,just came back from 8th DR
https://www.instagram.com/itsjordanwalsh/,Check dm 🖤
https://www.instagram.com/resell_moldova/,🙌🔥😍😍😍😍😍😍😍
https://www.instagram.com/hmena.architecture/,Oh 😍
https://www.instagram.com/khleothomas/,Yo I’m hitting the Star Wars Premiere, I need something fresh.
https://www.instagram.com/syee25/,Hi I have an inquiry, please check your Dm and also the post you have been tagged. Thanks.
https://www.instagram.com/francesb154/,@gbingham we’ve gotta go when we are in Miami!!
https://www.instagram.com/pwinsus/,#iwantklarna
https://www.instagram.com/preshvvpplied/,just came back from 8th DR
https://www.instagram.com/davidbitton_architecte/,Must to visit if you are in Miami !!!!!!!!
https://www.instagram.com/ro.k_milano/,Too cool to be true 👍💡💥
https://www.instagram.com/_thamim__/,Levi's ❤️
https://www.instagram.com/halilibrahimusluofficial/,👏👏👏👏
https://www.instagram.com/veganpitbullmama/,❤👖❤👖
https://www.instagram.com/tronoscelfi/,🌹🌹🌹
https://www.instagram.com/supreme.culture/,Levi Chewbacca jacket is releasing where?
https://www.instagram.com/airwardrbe/,🌍🔥Hot🌍like the planet . Make nothing new
https://www.instagram.com/fashionpoeista/,Loved this set up, super chill 💕
https://www.instagram.com/markbwavy/,Still haven’t received my order I placed December 7th at the Levi house pop up
https://www.instagram.com/solcabralmartins/,Lindo👋👋👋👋
https://www.instagram.com/allisonmathiasihle/,@toreno__ feat our girl @iamdanileigh
https://www.instagram.com/alistair.gov.au/,Imagine if @levis or any company actually did this stuff permanently instead of just being a temporary marketing campaign, think of the jobs it would create, how much of a boost to the local economy it would have having that many staff on hand all the time.
https://www.instagram.com/l_a_u_va/,🔥 increíble
https://www.instagram.com/alex_ferreira000/,Love♥️♥️♥️♥️
https://www.instagram.com/vanessacaress/,Great🤩👏
https://www.instagram.com/adriannedeandrade/,👏🏻👏🏻❤️
https://www.instagram.com/lothevi/,😮
https://www.instagram.com/tavanakiarash9247/,Power 🌟🌟🌟🌟🌟
https://www.instagram.com/shanawaz.6904/,👍👏
https://www.instagram.com/ser_zhuravskii/,🔥🔥🔥🔥🔥🙌👏🔥
https://www.instagram.com/oscarl.ruiz/,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😘😘😘😍
https://www.instagram.com/sandrajelic11/,Genijalno😊
https://www.instagram.com/ayunten/,😍💙👖
https://www.instagram.com/madame_vik/,💖💖💖💖💖💖
https://www.instagram.com/1picturegurl/,Dear @levis I am a massive fan and have worn only Levis for 35 yrs. I have recently committing to only buying from second hand stores. I am wondering what your policy is for end of season looks, or imperfect stock. I know many designers/companies burn the clothes adding to our carbon footprint, and damaging the earth further. Could you please tell me what you guys are doing to be part if the fashion solution of waste. This is a genuine question, not a condemnation or attack; just wanting to know more about a company that I love.💜
https://www.instagram.com/luciamadridconsultant/,Amo estos jeans ♥️😍
https://www.instagram.com/so_foodandtravel/,This looks Amazing 😱👏
https://www.instagram.com/constansaconti/,genios me encanta👍👏👏👏👏
https://www.instagram.com/salinasberdugo/,✨👏🏾🙌🏾
https://www.instagram.com/takayuki_kato7/,Keren ⭐⭐⭐⭐⭐
https://www.instagram.com/simplysuzette/,Wow
https://www.instagram.com/ciazaprzed40tka/,Great movie👍👌. You can see that everyone is having fun and in what good company😀👍. Levis up🤩😍
https://www.instagram.com/r.rahulchoudhary/,Amazing brand
https://www.instagram.com/_jok.5/,Good
https://www.instagram.com/seanlequang/,Omw
https://www.instagram.com/yongwkim/,❤️
https://www.instagram.com/omahyramotaofficial/,AMAZIIIIIIIIIING💖💖💖💖💖💖💖💖💖
https://www.instagram.com/steflenci/,I love this setting 😍
https://www.instagram.com/alteredego.apparel/,Greatt
https://www.instagram.com/spicyynat/,As someone who is obsessed with levis, this is my dream omg 😭😭
https://www.instagram.com/epifani_20192/,💛💛💛💛💛💛💛
